version,throughput,total,final,gif,swap,step,wrap,init
v0,156592.6,6.3952,18.722832035525535,30.94411608343497,0.0,49.49182224724021,0.07818119273227633,0.7630484410670169
v1,121476.6,8.2354,19.853798329123762,23.625412861861275,0.0,56.08849815426461,0.06071497959976685,0.3715756751505731
v2,130298.8,7.6792,21.54074537073209,18.876474724587858,0.0,58.934291741542296,0.28648071463916447,0.36200744849858063
v3,136750.0,7.313,24.747709558320796,12.347873649664983,0.0,62.204293723506076,0.3008341309995898,0.3992889375085465
v4,168624.4,5.9504,26.222565791684872,15.255604476859475,0.0,57.6177192215911,0.38987665109400726,0.5142338587705441
v5.0,251161.6,4.002599999999999,45.00799520287826,46.61702978213072,0.0,6.705976414151508,0.904457325604637,0.7645412752348589
v5.1,303626.2,3.3012,35.449863677673434,47.2038776128446,0.0,15.383217206906998,1.2420478642835506,0.7209936382914268
v6.0,253196.6,2.95,34.28629256691798,38.46581996660426,0.0,25.4667813591054,1.0170520669938776,0.764054040378485
v6.1,264141.0,2.8440000000000003,35.22577237919198,37.49669923422233,0.0,25.24425666754687,1.1565883284922103,0.8766833905466067
v7.0,284539.6,3.086,43.11583951106333,43.33088110463471,0.0,10.819987550223528,1.8561484918793503,0.8771433421990832
v7.1,318546.8,3.092,44.04141786304155,51.67068987422183,0.0,1.9501969254224367,1.2831914623300726,1.0545038749841191
