version,throughput,total,final,gif,swap,step,wrap,init
v0,152182.2,6.5786,0.16779666170076923,0.322215803715302,0.0,0.5039068438174578,0.00085129670730595,0.005229394059165122
v1,128496.0,7.7829999999999995,0.14329033252813902,0.25769645885799464,0.0,0.59443901937606,0.0006938376933751351,0.003880351544431311
v2,134528.6,7.4336,0.14992197169455956,0.20596782005058387,0.0,0.6367109723941237,0.0031211322176182533,0.004278103643114675
v3,149071.6,6.7090000000000005,0.16371061495811845,0.13896920738068977,0.0,0.6891525322681611,0.0033087906519211844,0.004858854741109488
v4,175468.4,5.7012,0.19252087279870903,0.17291096611239737,0.0,0.6242545429032483,0.004385041745597417,0.005928576440047709
v5.0,300089.4,3.3368,0.3036260113874738,0.5427030266706622,0.0,0.13251423434222356,0.011027869343721904,0.01012885825591849
v5.1,331025.4,3.0228,0.33878226340172074,0.44142951687624093,0.0,0.1949702183984117,0.01356717405691595,0.011250827266710787
v6.0,371791.8,2.6879999999999997,0.34275268017599303,0.465576005453306,0.0,0.17184111049141723,0.009915101939641817,0.009915101939641817
v6.1,402136.2,2.488,0.34123469653555616,0.43748371971867667,0.0,0.19634019275853085,0.014066163063297735,0.010875227923938524
v7.0,409723.4,2.44,0.36686223227539394,0.4847670884286421,0.0,0.11755142433024668,0.019509436629674134,0.011309818336042976
v7.1,415009.6,2.406,0.4109031733116355,0.5307567127746136,0.0,0.027664768104149716,0.017005695687550858,0.013669650122050452
