nthreads,throughput,total,final,gif,swap,step,wrap,init
2,22025715560.0,454.0000000000001,15.337222453717484,31.54949699386868,0.0,51.72629323173999,0.8601702482290613,0.5268170724447884
4,37256505560.0,270.0,30.557377049180324,33.114754098360656,0.0,34.54224464060529,0.8928121059268599,0.8928121059268599
8,40481290760.0,248.99999999999997,29.863818726337797,38.22116742950783,0.0,29.86946940159349,1.0284228965361362,1.01712154602475
16,36480077360.0,273.8,33.83874849578821,45.87244283995187,0.0,18.00842358604092,1.1432009626955477,1.1371841155234659
