version,throughput,total,final,gif,swap,step,wrap,init
v0,155733.6,6.4236,0.1777307261178229,0.3177543903350355,0.0,0.498443143604434,0.0007784281977830365,0.005293311744924649
v1,129746.6,7.7082,0.14697182002179668,0.26124863770823603,0.0,0.5870050339924231,0.000648710363796772,0.0041257979137474705
v2,137156.8,7.2909999999999995,0.15369212201009436,0.20877221856484526,0.0,0.6297728768926925,0.003017335966644722,0.004745446565723063
v3,148356.6,6.741200000000001,0.16349719642804167,0.14083128133622097,0.0,0.6873943097872846,0.0033227519506333993,0.0049544604978194445
v4,179173.0,5.586,0.19436488615208364,0.17438779894028353,0.0,0.6209723614492338,0.004296147787483889,0.005978805670915079
v5.0,297930.2,3.3592,0.31059117699589217,0.5318806929808895,0.0,0.13728642019408227,0.010894802643329166,0.00934690718580699
v5.1,338805.0,2.9618,0.3278854595799285,0.4427635577767272,0.0,0.20429526575268456,0.013574660633484163,0.011481056257175661
v6.0,389019.4,2.566,0.3014730687057236,0.3998088384122343,0.0,0.27988305408748454,0.00955807938828292,0.009276959406274599
v6.1,407412.4,2.452,0.3033052495139339,0.3914452365521711,0.0,0.28138808696164497,0.014081187768809286,0.00978023920344076
v7.0,386665.0,2.5919999999999996,0.3458888071184853,0.5107379407238911,0.0,0.11326687629624674,0.019000468321402286,0.011105907539974575
v7.1,415320.0,2.404,0.404406424017432,0.533128883867323,0.0,0.0320393834234525,0.017189895892179806,0.013235412799612623
