nthreads,throughput,actual,total,final,gif,swap,step,wrap,init
2,390511141.8,2.558,2.9539999999999997,0.37153482082488165,0.4619337390128465,0.0,0.1343475321162948,0.021230561189993235,0.010953346855983771
4,383002170.8,2.6100000000000003,2.752,0.39685187871753963,0.5158131437690411,0.0,0.05440301755404033,0.02096329609749021,0.011968663861888875
8,388323256.8,2.572,2.636,0.41865575509585506,0.5205728574676063,0.0,0.028263999393801618,0.02038342047435023,0.012123967568386754
9,382982428.2,2.6079999999999997,2.666,0.41285778510415105,0.5284729506968381,0.0,0.02585044208002398,0.020080923123033122,0.012737898995953846
16,408400562.4,2.444,2.49,0.4337851929092806,0.5099061522419187,0.0,0.026149033448303525,0.0166038341220823,0.013555787278415015
