version,throughput,total,final,gif,swap,step,wrap,init
v0,152182.2,6.5786,1.1038000000000001,2.1195999999999997,0.0,3.3148000000000004,0.0056,0.0344
v1,128496.0,7.7829999999999995,1.1152000000000002,2.0056000000000003,0.0,4.626399999999999,0.0054,0.030200000000000005
v2,134528.6,7.4336,1.1144,1.531,0.0,4.732799999999999,0.0232,0.0318
v3,149071.6,6.7090000000000005,1.0984,0.9324,0.0,4.6238,0.022199999999999998,0.032600000000000004
v4,175468.4,5.7012,1.0976000000000001,0.9858,0.0,3.559,0.025,0.033800000000000004
v5.0,300089.4,3.3368,1.0132,1.811,0.0,0.44220000000000004,0.0368,0.033800000000000004
v5.1,331025.4,3.0228,1.0238,1.334,0.0,0.5892000000000001,0.041,0.033999999999999996
v6.0,371791.8,2.6879999999999997,1.1062,1.5026,0.0,0.5546,0.032,0.032
v6.1,402136.2,2.488,1.048,1.3436,0.0,0.603,0.0432,0.0334
v7.0,409723.4,2.44,1.0379999999999998,1.3716000000000002,0.0,0.3326,0.055200000000000006,0.032
v7.1,415009.6,2.406,1.01,1.3046,0.0,0.06799999999999999,0.041800000000000004,0.033600000000000005
