version,throughput,total,final,gif,swap,step,wrap,init
v0,153315581.6,6.5262,1.1128,2.0964,0.0,3.2771999999999997,0.0054,0.0342
v1,127034749.2,7.8726,1.1478,2.0263999999999998,0.0,4.6598,0.0054,0.0332
v2,134544804.8,7.432600000000001,1.121,1.5297999999999998,0.0,4.7262,0.0232,0.0324
v3,148524116.0,6.736400000000001,1.0754,0.9422,0.0,4.663,0.022399999999999996,0.033800000000000004
v4,179365815.0,5.5778,1.1332,0.9498000000000001,0.0,3.438,0.023799999999999998,0.0332
v5.0,297221110.8,3.3646000000000003,1.1032,1.8001999999999998,0.0,0.3906,0.0366,0.0344
v5.1,320850118.4,3.1206,1.0375999999999999,1.3572000000000002,0.0,0.6494,0.0418,0.033800000000000004
v6.0,372926533.6,2.6799999999999997,1.1156000000000001,1.4852,0.0,0.5512,0.0312,0.034
v6.1,410049261.2,2.4379999999999997,1.0096,1.3298,0.0,0.548,0.0446,0.034999999999999996
v7.0,390328952.0,2.5620000000000003,1.0497999999999998,1.4818,0.0,0.3308,0.055400000000000005,0.0316
v7.1,409697038.0,2.4379999999999997,1.0362,1.31,0.0,0.0602,0.041,0.0344
