nthreads,throughput,actual,total,final,gif,swap,step,wrap,init
2,220257155.6,4.540000000000001,6.715999999999999,0.15337222453717483,0.3154949699386868,0.0,0.5172629323173998,0.008601702482290613,0.005268170724447884
4,372565055.6,2.7,3.9619999999999997,0.30557377049180323,0.33114754098360655,0.0,0.3454224464060529,0.0089281210592686,0.0089281210592686
8,404812907.6,2.4899999999999998,3.536,0.298638187263378,0.3822116742950783,0.0,0.2986946940159349,0.010284228965361361,0.0101712154602475
9,395851644.0,2.526,3.5140000000000002,0.2814293018235528,0.4119184229960803,0.0,0.28426972675112194,0.010111912742146225,0.012270635687098791
16,364800773.6,2.738,3.3200000000000003,0.3383874849578821,0.4587244283995187,0.0,0.1800842358604092,0.011432009626955477,0.011371841155234659
