nthreads,throughput,actual,total,final,gif,swap,step,wrap,init
1,185175166.6,0.0,5.400399999999999,0.9742,0.9057999999999999,0.0,3.4624,0.023,0.034999999999999996
2,250077977.8,0.0,3.9992000000000005,0.9618,1.1361999999999999,0.0,1.8405999999999998,0.026600000000000002,0.0338
4,308258560.0,0.0,3.2481999999999998,1.0042,1.193,0.0,0.9898,0.027800000000000002,0.033
8,342983944.2,0.0,2.9210000000000003,1.041,1.2719999999999998,0.0,0.5412000000000001,0.029000000000000005,0.0378
9,332352647.6,0.0,3.0103999999999997,0.9096,1.4324,0.0,0.5938,0.0324,0.041600000000000005
16,371756556.0,0.0,2.6924,0.889,1.4256,0.0,0.302,0.0314,0.044
