nthreads,throughput,actual,total,final,gif,swap,step,wrap,init
2,39051114180.0,255.79999999999998,295.4,37.15348208248817,46.19337390128465,0.0,13.43475321162948,2.1230561189993233,1.095334685598377
4,38300217080.0,261.00000000000006,275.2,39.68518787175396,51.58131437690411,0.0,5.440301755404033,2.096329609749021,1.1968663861888875
8,38832325680.0,257.2,263.6,41.865575509585504,52.05728574676063,0.0,2.826399939380162,2.0383420474350227,1.2123967568386753
9,38298242820.0,260.79999999999995,266.59999999999997,41.285778510415106,52.84729506968381,0.0,2.585044208002398,2.008092312303312,1.2737898995953847
16,40840056240.0,244.4,249.00000000000003,43.37851929092806,50.99061522419187,0.0,2.6149033448303527,1.6603834122082302,1.3555787278415015
