version,throughput,total,final,gif,swap,step,wrap,init
v0,15573360.0,642.36,17.77307261178229,31.77543903350355,0.0,49.8443143604434,0.07784281977830365,0.5293311744924649
v1,12974660.0,770.8199999999999,14.697182002179668,26.124863770823602,0.0,58.70050339924231,0.0648710363796772,0.41257979137474704
v2,13715679.999999998,729.0999999999999,15.369212201009436,20.877221856484525,0.0,62.97728768926925,0.3017335966644722,0.4745446565723063
v3,14835660.0,674.1200000000001,16.349719642804168,14.083128133622097,0.0,68.73943097872845,0.3322751950633399,0.49544604978194445
v4,17917300.0,558.6,19.436488615208365,17.438779894028354,0.0,62.097236144923386,0.4296147787483889,0.5978805670915079
v5.0,29793020.0,335.92,31.059117699589216,53.18806929808895,0.0,13.728642019408227,1.0894802643329167,0.934690718580699
v5.1,33880500.0,296.18,32.788545957992845,44.27635577767272,0.0,20.429526575268454,1.3574660633484164,1.1481056257175661
v6.0,38901940.0,256.59999999999997,30.14730687057236,39.98088384122343,0.0,27.988305408748452,0.9558079388282921,0.9276959406274599
v6.1,40741240.0,245.2,30.33052495139339,39.144523655217114,0.0,28.138808696164496,1.4081187768809285,0.978023920344076
v7.0,38666500.0,259.2,34.58888071184853,51.07379407238911,0.0,11.326687629624674,1.9000468321402286,1.1105907539974575
v7.1,41532000.0,240.39999999999998,40.4406424017432,53.312888386732304,0.0,3.20393834234525,1.7189895892179805,1.3235412799612623
