nthreads,throughput,actual,total,final,gif,swap,step,wrap,init
1,185175166.6,0.0,5.400399999999999,0.18039404488556404,0.16772831642100586,0.0,0.6411376935041849,0.004258943781942079,0.006481001407303163
2,250077977.8,0.0,3.9992000000000005,0.240510127531883,0.2841210302575644,0.0,0.4602650662665666,0.006651662915728934,0.008452113028257064
4,308258560.0,0.0,3.2481999999999998,0.3091939158815198,0.36732557423486667,0.0,0.30476014532914586,0.008559640371944085,0.010160724182523555
8,342983944.2,0.0,2.9210000000000003,0.35638479972612125,0.43546730571722014,0.0,0.18527901403628902,0.009928106812735368,0.012940773707634374
9,332352647.6,0.0,3.0103999999999997,0.3022127716127318,0.4759120207322746,0.0,0.1972888564024188,0.010764834872749022,0.013821516379825906
16,371756556.0,0.0,2.6924,0.3302377414561664,0.5295690936106984,0.0,0.11218424962852896,0.011664190193164932,0.016344725111441305
