nthreads,throughput,actual,total,final,gif,swap,step,wrap,init
1,18517516660.0,0.0,540.04,18.039404488556404,16.772831642100584,0.0,64.1137693504185,0.4258943781942079,0.6481001407303163
2,25007797780.0,0.0,399.9200000000001,24.0510127531883,28.41210302575644,0.0,46.02650662665666,0.6651662915728934,0.8452113028257064
4,30825856000.0,0.0,324.82,30.919391588151978,36.73255742348667,0.0,30.476014532914586,0.8559640371944085,1.0160724182523555
8,34298394420.0,0.0,292.1,35.638479972612124,43.546730571722016,0.0,18.527901403628903,0.9928106812735368,1.2940773707634374
9,33235264760.000004,0.0,301.03999999999996,30.22127716127318,47.591202073227464,0.0,19.72888564024188,1.076483487274902,1.3821516379825907
16,37175655600.0,0.0,269.24,33.02377414561664,52.95690936106984,0.0,11.218424962852897,1.1664190193164932,1.6344725111441305
